question,reference_answer,reference_context,conversation_history,metadata
What services are offered by Antrim X-Ray and Ultrasound Clinic?,Diagnostic imaging clinic general radiography general ultrasound Fees: Services may be covered by OHIP,"Document 42: question: What is the service description? (Antrim X-Ray and Ultrasound Clinic)
answer: Diagnostic imaging clinic general radiography general ultrasound Fees: Services may be covered by OHIP",[],"{'question_type': 'simple', 'seed_document_id': 42, 'topic': 'Healthcare Services Information'}"
What is the name of the organization mentioned in the context?,Aphasia Institute - Pat Arato Aphasia Centre (The),"Document 45: question: What is the organization name? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: Aphasia Institute - Pat Arato Aphasia Centre (The)",[],"{'question_type': 'simple', 'seed_document_id': 45, 'topic': 'Community Support Services'}"
What services are offered to support social housing?,"Assistance applying for social housing, help resolving landlord/tenant disputes, counselling workshops and support groups of interest to Aboriginal tenants, information and referral to general services.","Document 85: question: What are the application details? (supporting social housing: Assistance applying for social housing help resolving landlord/tenant disputes counselling workshops and support groups of interest to Aboriginal tenants information and referral to general services Fees: None)
answer: Call or drop in * office access code 1094",[],"{'question_type': 'simple', 'seed_document_id': 85, 'topic': 'Community Support Services'}"
How can I find application details for the Asperger's Society of Ontario?,Call or visit website,"Document 123: question: What are the application details? (Asperger's Society of Ontario)
answer: Call or visit website",[],"{'question_type': 'simple', 'seed_document_id': 123, 'topic': 'Community Support Services'}"
What is the name of the organization mentioned in the context?,Amplifon - Cobourg,"Document 7: question: What is the organization name? (Amplifon - Cobourg)
answer: Amplifon - Cobourg",[],"{'question_type': 'simple', 'seed_document_id': 7, 'topic': 'Hearing Clinic Services'}"
How can I book Ambu Trans Medical Transportation Services in the Greater Toronto Area?,Call for booking.,"Document 4: question: What are the application details? (Ambu Trans Medical Transportation Services - Greater Toronto Area)
answer: Call for booking",[],"{'question_type': 'simple', 'seed_document_id': 4, 'topic': 'Others'}"
What languages are supported by Arthritis Society Canada?,English * French,"Document 110: question: What languages are supported? (Arthritis Society Canada)
answer: English * French Language Notes: French telephone service and website Area Served: Ontario Ontario This information was last completely updated on September 13, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=174826 ",[],"{'question_type': 'simple', 'seed_document_id': 110, 'topic': 'Others'}"
What is the address of Amplifon in Cobourg?,"1060 Burnham St, Unit 7 Cobourg, ON K9A 5V9","Document 14: question: What is the website URL? (Amplifon - Cobourg)
answer: www.amplifon.com/ca/branch-locator/hearing-clinics... Address: 1060 Burnham St, Unit 7 Cobourg, ON K9A 5V9 Map 1060 Burnham St, Unit 7 Cobourg, ON K9A 5V9 Map Intersection: Burnham St and White St Location: Cobourg Accessibility:     Wheelchair Accessible",[],"{'question_type': 'simple', 'seed_document_id': 14, 'topic': 'Hearing Clinic Services'}"
What are the application requirements for the Aphasia Institute - Pat Arato Aphasia Centre?,Referral and SLP (Speech Language Pathologist) report required; information available online.,"Document 49: question: What are the application details? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: Referral and SLP (Speech Language Pathologist) report required; information available online",[],"{'question_type': 'simple', 'seed_document_id': 49, 'topic': 'Community Support Services'}"
What services and programs are offered by the Aphasia Institute - Pat Arato Aphasia Centre?,"The services and programs offered include the Community Aphasia Program, Education and Training, Living Your Best Life - Primary Progressive Aphasia Services, New Beginnings Program, and Outreach.","Document 47: question: What is the service description? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: Supports for people affected by aphasia as a result of a stroke/brain injury or Primary Progressive Aphasia (PPA) and their families * help people with aphasia and their family/friends understand aphasia * strategies to communicate in new ways * making meaningful connections * rebuilding bridges for those living with aphasia * reducing feelings of isolation * encourage community involvement and social exchange * restoring confidence and improving coping skills for those affected by aphasia * referral to other community services  Services and Programs: Community Aphasia Program Education and Training Living Your Best Life - Primary Progressive Aphasia Services New Beginnings Program Outreach Fees: Varies per program",[],"{'question_type': 'simple', 'seed_document_id': 47, 'topic': 'Community Support Services'}"
"Under the condition that I need to verify the information about the Asperger's Society of Ontario, could you specify the exact URL of their official website?",www.asontario.org,"Document 125: question: What is the website URL? (Asperger's Society of Ontario)
answer: www.asontario.org Address: 3219 Yonge St, Suite 231 Toronto, ON M4N 3S1 3219 Yonge St, Suite 231 Toronto, ON M4N 3S1 Executives: Alexandra Prefasi - Executive Director",[],"{'question_type': 'complex', 'seed_document_id': 125, 'topic': 'Support Services in Ontario'}"
