question,answer
What is the organization name? (Ambu Trans Medical Transportation Services - Greater Toronto Area),Ambu Trans Medical Transportation Services - Greater Toronto Area
What are the contact details? (Ambu Trans Medical Transportation Services - Greater Toronto Area),416-423-2323
What is the service description? (Ambu Trans Medical Transportation Services - Greater Toronto Area),"Provides non-emergency ambulance transportation to and from a variety of hospitals, nursing homes, retirement residence, rehab centres, private residence and airports in and outside Greater Toronto.  On-site emergency medical coverage for special events.  Offers private pay transportation. Fees: call for quote * or billing to insurance or benefits providers"
What are the eligibility criteria? (Ambu Trans Medical Transportation Services - Greater Toronto Area),anyone requiring non-emergency ambulance transportation
What are the application details? (Ambu Trans Medical Transportation Services - Greater Toronto Area),Call for booking
What languages are supported? (Ambu Trans Medical Transportation Services - Greater Toronto Area),"English Area Served: Greater Toronto Area Greater Toronto Area This information was last completely updated on January 17, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=191547 "
What is the website URL? (Ambu Trans Medical Transportation Services - Greater Toronto Area),"www.ambutrans.on.ca Address: c/o David Allin 6483 Kingston Rd Toronto, ON M1C 1L5 Map c/o David Allin 6483 Kingston Rd Toronto, ON M1C 1L5 Map Intersection: Kingston Rd and Ellesmere Rd Location: Toronto (Centennial Scarborough) Hours: Service Sun 6am-8pm Mon 6am-8pm Tue 6am-8pm Open Wed 6am-8pm Thu 6am-8pm Fri 6am-8pm Sat 6am-8pm  Advance booking required Service Sun 6am-8pm Mon 6am-8pm Tue 6am-8pm Open Wed 6am-8pm Thu 6am-8pm Fri 6am-8pm Sat 6am-8pm Executives: David Allin - General Manager dave@ambutrans.on.ca"
What is the organization name? (Amplifon - Cobourg),Amplifon - Cobourg
What are the contact details? (Amplifon - Cobourg),905-377-8209
What is the service description? (Amplifon - Cobourg),"Hearing clinic offering:  baseline testing full audiological examination including speech testing video otoscopy hearing aids hearing aid accessories 90-day trial period with $0 return fee lifetime unlimited cleaning, reprogramming and minor repairs lifetime free counselling and advice as needed financing options available ALD (assistive listening devices) tinnitus management custom earmolds hearing protection sleep plugs swim plugs shooting and hunting earplugs musician earplugs refer-a-friend program home visit services Authorized Assistive Devices Program (ADP) vendor Fees: Call for current fee schedule * complimentary hearing tests"
What are the eligibility criteria? (Amplifon - Cobourg),All ages
What are the application details? (Amplifon - Cobourg),No referral required
What are the service hours? (Amplifon - Cobourg),Mon-Fri 9am-4:30pm Public Contacts: Ashley Beatty - Client Care Coordinator Ashely Lewis - Client Care Coordinator
What languages are supported? (Amplifon - Cobourg),"English Area Served: Northumberland County Northumberland County This information was last completely updated on September 1, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=191553 "
What is the website URL? (Amplifon - Cobourg),"www.amplifon.com/ca/branch-locator/hearing-clinics... Address: 1060 Burnham St, Unit 7 Cobourg, ON K9A 5V9 Map 1060 Burnham St, Unit 7 Cobourg, ON K9A 5V9 Map Intersection: Burnham St and White St Location: Cobourg Accessibility:     Wheelchair Accessible"
What is the organization name? (Amplifon - Taunton),Amplifon - Taunton
What are the contact details? (Amplifon - Taunton),905-721-4969
What is the service description? (Amplifon - Taunton),"Hearing clinic offering: baseline testing full audiological examination including speech testing video otoscopy hearing aids hearing aid accessories 90-day trial period with $0 return fee lifetime unlimited cleaning, reprogramming and minor repairs lifetime free counselling and advice as needed financing options available ALD (assistive listening devices) tinnitus management custom earmolds hearing protection sleep plugs swim plugs shooting and hunting earplugs musician earplugs refer-a-friend program home visit services Authorized Assistive Devices Program (ADP) vendor Fees: Call for current fee schedule * complimentary hearing tests"
What are the eligibility criteria? (Amplifon - Taunton),No requirements
What are the application details? (Amplifon - Taunton),No referral required
What are the service hours? (Amplifon - Taunton),Mon-Fri 8:30am-5pm Executives: John Vlad - Audiologist
What languages are supported? (Amplifon - Taunton),"English Area Served: Durham Region Durham Region This information was last completely updated on September 1, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=146431 "
What is the website URL? (Amplifon - Taunton),"www.amplifon.com/ca/branch-locator/hearing-clinics... Address: Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7 Map Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7 Map Intersection: Keith Ross Dr and Taunton Rd W Location: Oshawa (Stevenson North) Accessibility:     Wheelchair Accessible"
What is the organization name? (Anishinabek Nation - Union of Ontario Indians),Anishinabek Nation - Union of Ontario Indians
What are the contact details? (Anishinabek Nation - Union of Ontario Indians),705-497-9127
What is the service description? (Anishinabek Nation - Union of Ontario Indians),"Advocacy for 40 member First Nations across Ontario * collective action on a variety of issues * regional grand chiefs represent four strategic regional areas: Southwest, Southeast, Lake Huron and Northern Superior  Variety of programs and services, including health, social services, education, intergovernmental affairs and treaty research * approximately 70 staff members  Satellite offices in Fort William First Nation, Curve Lake First Nation and Munsee-Delaware First Nation  Anishinabek Educational Institute - Full-time education and training programs for First Nation Anishinabek communities * includes programs for Native Community Workers, Early Childhood Education and Personal Support Workers * campus locations in North Bay and Muncey * www.aeipostsecondary.ca"
What languages are supported? (Anishinabek Nation - Union of Ontario Indians),"English Area Served: Ontario Ontario This information was last completely updated on September 1, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=208437 "
What is the website URL? (Anishinabek Nation - Union of Ontario Indians),"www.anishinabek.ca Address: 1 Migizii Miikan, PO Box 711 North Bay, ON P1B 8J8 Map 1 Migizii Miikan, PO Box 711 North Bay, ON P1B 8J8 Map Intersection: Migizii Miikan and Trans-Canada Hwy Location: North Bay Hours: Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm Administration Mon 8:30am-4:30pm Tue 8:30am-4:30pm Wed 8:30am-4:30pm Thu 8:30am-4:30pm Fri 8:30am-4:30pm Executives: Reg Niganobe - Grand Council Chief"
What is the organization name? (Anovity Professional Home Healthcare),Anovity Professional Home Healthcare
What are the contact details? (Anovity Professional Home Healthcare),647-829-5874
What is the service description? (Anovity Professional Home Healthcare),"In-home, non-medical services to assist with activities of daily living personal care respite companion care light housekeeping palliative care Fees: $28-35 per hour"
What are the eligibility criteria? (Anovity Professional Home Healthcare),all ages
What are the application details? (Anovity Professional Home Healthcare),no referral required
What are the service hours? (Anovity Professional Home Healthcare),Daily 8:30am-5:30pm services 24 hours daily Executives: Tamika John - Owner tamikaj@anovityphhc.ca
What languages are supported? (Anovity Professional Home Healthcare),"English Language Notes: English Area Served: Durham Region Durham Region This information was last completely updated on January 10, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=201336 "
What is the website URL? (Anovity Professional Home Healthcare),"anovityphhc.ca Address: c/o Tamika John Bowmanville, ON c/o Tamika John Bowmanville, ON Intersection: Port Darlington Rd and E Shore Drive Location: Clarington Accessibility Notes: Services provided in client homes"
"What is the organization name? (supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 )","supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 "
"What are the contact details? (supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 )",416-281-2057
"What are the service hours? (supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 )",Contact for information
"What is the website URL? (supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 )","www.aboriginalhsc.org Address: 20 Sewells Rd Toronto, ON M1B 3G5 Map 20 Sewells Rd Toronto, ON M1B 3G5 Map"
What is the organization name? (Antrim X-Ray and Ultrasound Clinic),Antrim X-Ray and Ultrasound Clinic
What are the contact details? (Antrim X-Ray and Ultrasound Clinic),647-352-6314
What is the service description? (Antrim X-Ray and Ultrasound Clinic),Diagnostic imaging clinic general radiography general ultrasound Fees: Services may be covered by OHIP
What are the application details? (Antrim X-Ray and Ultrasound Clinic),Medical referral required
What languages are supported? (Antrim X-Ray and Ultrasound Clinic),"English * Chinese (Mandarin) * Hindi Area Served: Toronto (Scarbrough) Toronto (Scarbrough) This information was last completely updated on November 16, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=130097 "
What is the organization name? (Aphasia Institute - Pat Arato Aphasia Centre (The)),Aphasia Institute - Pat Arato Aphasia Centre (The)
