question,reference_answer,reference_context,conversation_history,metadata
What is the website URL for Arcadia Home Care?,www.arcadiahomecare.ca,"Document 73: question: What is the website URL? (Arcadia Home Care)
answer: www.arcadiahomecare.ca Address: c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map c/o Arcadia Home Care 1 Yonge St, Suite 1801 Toronto, ON M5E 1W7 Map Intersection: Yonge St and Queens Quay E Location: Toronto (Waterfront Communities-The Island)",[],"{'question_type': 'simple', 'seed_document_id': 73, 'topic': 'Community Health and Social Services'}"
What languages are supported at Antrim X-Ray and Ultrasound Clinic?,"English, Chinese (Mandarin), Hindi","Document 44: question: What languages are supported? (Antrim X-Ray and Ultrasound Clinic)
answer: English * Chinese (Mandarin) * Hindi Area Served: Toronto (Scarbrough) Toronto (Scarbrough) This information was last completely updated on November 16, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=130097 ",[],"{'question_type': 'simple', 'seed_document_id': 44, 'topic': 'Community Health and Social Services'}"
What is the contact phone number for the Asperger's Society of Ontario?,416-651-4037,"Document 120: question: What are the contact details? (Asperger's Society of Ontario)
answer: 416-651-4037",[],"{'question_type': 'simple', 'seed_document_id': 120, 'topic': 'Community Health and Social Services'}"
What language does the Asperger's Society of Ontario support?,English,"Document 124: question: What languages are supported? (Asperger's Society of Ontario)
answer: English Area Served: Ontario Ontario This information was last completely updated on February 22, 2024 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=12294 ",[],"{'question_type': 'simple', 'seed_document_id': 124, 'topic': 'Ontario Community Services'}"
What are the operating hours for Appletree Medical Centre in Scarborough on Saturdays?,9am-3pm,"Document 58: question: What is the website URL? (Appletree Medical Centre - Scarborough)
answer: www.appletreemedicalgroup.com Address: 2025 Midland Ave Toronto, ON M1P 3E2 Map 2025 Midland Ave Toronto, ON M1P 3E2 Map Intersection: Midland Ave and Ellesmere Rd Location: Scarborough Hours: Service Sun 9am-5pm Mon 9am-7pm Tue 9am-4pm Open Wed 9am-4pm Thu 9am-4pm Fri 9am-4pm Sat 9am-3pm Service Sun 9am-5pm Mon 9am-7pm Tue 9am-4pm Open Wed 9am-4pm Thu 9am-4pm Fri 9am-4pm Sat 9am-3pm",[],"{'question_type': 'simple', 'seed_document_id': 58, 'topic': 'Community Health and Social Services'}"
What types of suites are available at Applewood Retirement Residence?,"Applewood Retirement Residence offers 92 studio suites, 25 one-bedroom suites, and 7 one-bedroom 'Empire' suites.","Document 61: question: What is the service description? (Applewood Retirement Residence)
answer: Retirement Home:  CAPACITY: 92 studio suites, 25 one-bedroom suites and 7 one-bedroom ""Empire"" suites  SHORT STAY/RESPITE: Respite upon availability.  Provides 24 hour nursing supervision with an emergency response system in each room, nursing services to meet the individual needs of the resident, housekeeping, laundry and dietary service as well as activity programs. Applewood’s monthly activity calendar offers in-house activities such as fitness classes, baking classes, yoga classes, line dancing classes, Wii games, gardening, walking group, horseshoes, shuffleboard and daily exercise programs including physiotherapy classes in balance, strength, flexibility, and mobility. Planned outings include trips to the Wellness Centre for swimming. Soup for the Soul program: Applewood is delivering care packages to the porches of seniors. Each box contains homemade soup, tea biscuits and cookies along with activities to keep boredom away. Call the office to receive a complimentary care package. Fees: Prices for each retirement home vary. Some services may be included in the basic charge while others are charged at an additional cost. Check directly with the retirement home to determine the exact fees for the services which are required.",[],"{'question_type': 'simple', 'seed_document_id': 61, 'topic': 'Community Health and Social Services'}"
Who are eligible for services at the Armenian Relief Society Toronto Roubina Chapter - Social Service Office?,"Children, youth, adults and seniors from the community","Document 100: question: What are the eligibility criteria? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Children, youth, adults and seniors from the community",[],"{'question_type': 'simple', 'seed_document_id': 100, 'topic': 'Community Health and Social Services'}"
What is the organization name?,Anovity Professional Home Healthcare,"Document 28: question: What is the organization name? (Anovity Professional Home Healthcare)
answer: Anovity Professional Home Healthcare",[],"{'question_type': 'simple', 'seed_document_id': 28, 'topic': 'Community Health and Social Services'}"
What type of services does Anovity Professional Home Healthcare provide?,"In-home, non-medical services to assist with activities of daily living personal care respite companion care light housekeeping palliative care.","Document 30: question: What is the service description? (Anovity Professional Home Healthcare)
answer: In-home, non-medical services to assist with activities of daily living personal care respite companion care light housekeeping palliative care Fees: $28-35 per hour",[],"{'question_type': 'simple', 'seed_document_id': 30, 'topic': 'Community Health and Social Services'}"
What is the contact number for Arcadia Home Care?,416-977-0050,"Document 67: question: What are the contact details? (Arcadia Home Care)
answer: 416-977-0050",[],"{'question_type': 'simple', 'seed_document_id': 67, 'topic': 'Community Health and Social Services'}"
What languages are supported by the Arthritis Society Canada?,English * French,"Document 110: question: What languages are supported? (Arthritis Society Canada)
answer: English * French Language Notes: French telephone service and website Area Served: Ontario Ontario This information was last completely updated on September 13, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=174826 ",[],"{'question_type': 'simple', 'seed_document_id': 110, 'topic': 'Ontario Community Services'}"
What is the contact phone number for the Anishinabek Nation - Union of Ontario Indians?,705-497-9127,"Document 24: question: What are the contact details? (Anishinabek Nation - Union of Ontario Indians)
answer: 705-497-9127",[],"{'question_type': 'simple', 'seed_document_id': 24, 'topic': 'Community Health and Social Services'}"
What are the service hours for Anovity Professional Home Healthcare?,Daily 8:30am-5:30pm services 24 hours daily,"Document 33: question: What are the service hours? (Anovity Professional Home Healthcare)
answer: Daily 8:30am-5:30pm services 24 hours daily Executives: Tamika John - Owner tamikaj@anovityphhc.ca",[],"{'question_type': 'simple', 'seed_document_id': 33, 'topic': 'Community Health and Social Services'}"
What language is supported by Anovity Professional Home Healthcare?,English,"Document 34: question: What languages are supported? (Anovity Professional Home Healthcare)
answer: English Language Notes: English Area Served: Durham Region Durham Region This information was last completely updated on January 10, 2024 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=201336 ",[],"{'question_type': 'simple', 'seed_document_id': 34, 'topic': 'Community Health and Social Services'}"
What are the service hours for Armenian Family Support Services?,"Mon 9 am-12 noon, Wed-Thu 9 am-4 pm, Sun 10 am-1 pm","Document 94: question: What are the service hours? (Armenian Family Support Services)
answer: Mon 9 am-12 noon, Wed-Thu 9 am-4 pm, Sun 10 am-1 pm",[],"{'question_type': 'simple', 'seed_document_id': 94, 'topic': 'Community Health and Social Services'}"
What language support does the Assaulted Women's Helpline offer?,English Language Notes: Interpretation available upon request,"Document 131: question: What languages are supported? (Assaulted Women's Helpline)
answer: English Language Notes: Interpretation available upon request Area Served: Ontario Ontario This information was last completely updated on October 18, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/listServices.aspx?id=10979  Add Topic to Clipboard | Map |",[],"{'question_type': 'simple', 'seed_document_id': 131, 'topic': 'Ontario Community Services'}"
What is the contact phone number for Arthritis Society Canada?,416-979-7228,"Document 106: question: What are the contact details? (Arthritis Society Canada)
answer: 416-979-7228",[],"{'question_type': 'simple', 'seed_document_id': 106, 'topic': 'Community Health and Social Services'}"
"Identify the specific name of the healthcare facility referenced in the provided context, ensuring that it aligns with the organization's official designation.",Antrim X-Ray and Ultrasound Clinic,"Document 40: question: What is the organization name? (Antrim X-Ray and Ultrasound Clinic)
answer: Antrim X-Ray and Ultrasound Clinic",[],"{'question_type': 'complex', 'seed_document_id': 40, 'topic': 'Community Health and Social Services'}"
Under what specific conditions or circumstances can individuals qualify to receive home care services provided by Arcadia Home Care?,People requiring home care services,"Document 69: question: What are the eligibility criteria? (Arcadia Home Care)
answer: People requiring home care services",[],"{'question_type': 'complex', 'seed_document_id': 69, 'topic': 'Community Health and Social Services'}"
"Under what specific circumstances or conditions does Ask4Care Support Services offer their range of care and support services, including personal support, assistance with medical appointments, and palliative care?","Services include: personal support care and support for the elderly, special needs and ABI (Acquired brain injury) assisting with medical appointments, assist with grocery shopping companionship nursing services palliative care staff to support and provide end-of-life care for patients and families child care support medication administration and reminders foot care therapy services caregiver relief live-in caregivers home keeping.","Document 114: question: What is the service description? (Ask4Care Support Services)
answer: Services include: personal support care and support for the elderly, special needs and ABI (Acquired brain injury) assisting with medical appointments, assist with grocery shopping companionship nursing services palliative care staff to support and provide end-of-life care for patients and families child care support medication administration and reminders foot care therapy services caregiver relief live-in caregivers home keeping Fees: Contact for fees information",[],"{'question_type': 'complex', 'seed_document_id': 114, 'topic': 'Community Health and Social Services'}"
"Under the condition that I am interested in non-medical support, what specific types of in-home services does Anovity Professional Home Healthcare offer, and what are the associated hourly fees?","In-home, non-medical services to assist with activities of daily living personal care respite companion care light housekeeping palliative care.","Document 30: question: What is the service description? (Anovity Professional Home Healthcare)
answer: In-home, non-medical services to assist with activities of daily living personal care respite companion care light housekeeping palliative care Fees: $28-35 per hour",[],"{'question_type': 'complex', 'seed_document_id': 30, 'topic': 'Community Health and Social Services'}"
"Could you outline the specific steps involved in securing an appointment with Armenian Family Support Services, considering any prerequisites or conditions that must be met beforehand?",Call for appointment,"Document 93: question: What are the application details? (Armenian Family Support Services)
answer: Call for appointment",[],"{'question_type': 'complex', 'seed_document_id': 93, 'topic': 'Community Health and Social Services'}"
"Who currently holds the position of president at the Association française des municipalités de l'Ontario, considering the executives listed in their documentation?",Nicole Fortier Levesque,"Document 136: question: What are the service hours? (Association française des municipalités de l'Ontario (L'))
answer: Hours vary Executives: Nicole Fortier Levesque - President",[],"{'question_type': 'complex', 'seed_document_id': 136, 'topic': 'Ontario Community Services'}"
"Under what conditions can the Assaulted Women's Helpline provide language interpretation services, and which languages are inherently supported?",English Language Notes: Interpretation available upon request,"Document 131: question: What languages are supported? (Assaulted Women's Helpline)
answer: English Language Notes: Interpretation available upon request Area Served: Ontario Ontario This information was last completely updated on October 18, 2023 © 2024, THL Information Network URL: https://www.centraleasthealthline.ca/listServices.aspx?id=10979  Add Topic to Clipboard | Map |",[],"{'question_type': 'complex', 'seed_document_id': 131, 'topic': 'Ontario Community Services'}"
"Identify the name of the organization, ensuring it is the one associated with the service in Document 66, and not any other document.",Arcadia Home Care,"Document 66: question: What is the organization name? (Arcadia Home Care)
answer: Arcadia Home Care",[],"{'question_type': 'complex', 'seed_document_id': 66, 'topic': 'Community Health and Social Services'}"
"Under the condition of needing accessible facilities, what is the precise location of the Armenian Relief Society Toronto Roubina Chapter - Social Service Office?","ARS Social Services, 45 Hallcrown Place Toronto, ON M2J 4Y4","Document 104: question: What is the website URL? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: www.acctoronto.ca/organizations/armenian-relief-so... Address: ARS Social Services, 45 Hallcrown Place Toronto, ON M2J 4Y4 Map ARS Social Services, 45 Hallcrown Place Toronto, ON M2J 4Y4 Map Location: Cross street: Victoria Park Ave and Hwy 401 Accessibility Notes: Designated parking at entrance - lot ; Street parking close to entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Main floor accessible only",[],"{'question_type': 'complex', 'seed_document_id': 104, 'topic': 'Community Health and Social Services'}"
"Under what conditions and through which methods does the ARCH Disability Law Centre offer its range of services, including legal advice, representation, and public speaking?","The ARCH Disability Law Centre provides community legal clinic services, summary advice and referral, confidential advice and information related to disability issues, limited representation in test case litigation, representation for individuals in priority cases, accepts collect calls, public speaking, law reform initiatives, adaptive technology workstations for Internet access, and an electronic newsletter. It is funded by Legal Aid Ontario and charges no fees.","Document 76: question: What is the service description? (ARCH Disability Law Centre)
answer: Community legal clinic  Summary Advice and Referral -- confidential advice and information related to disability issues telephone service limited representation in test case litigation representation for individuals in priority cases collect calls accepted public speaking law reform initiatives adaptive technology workstations for Internet access, Monday-Friday 10 am-4 pm electronic newsletter funded by Legal Aid Ontario Fees: None",[],"{'question_type': 'complex', 'seed_document_id': 76, 'topic': 'Community Health and Social Services'}"
"Considering the most recent update from October 12, 2023, what is the only language in which services are provided at the Appletree Medical Centre located in Scarborough?",English,"Document 57: question: What languages are supported? (Appletree Medical Centre - Scarborough)
answer: English Area Served: Scarborough and area Scarborough and area This information was last completely updated on October 12, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=50069 ",[],"{'question_type': 'complex', 'seed_document_id': 57, 'topic': 'Community Health and Social Services'}"
"Given the areas served including Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings, what is the specific URL for the supporting social housing service, considering the last update was on March 4, 2022?",https://www.centraleasthealthline.ca/displayservice.aspx?id=188834,"Document 39: question: What is the website URL? (supporting social housing Area Served: Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings Brant, Bruce, Chatham-Kent, Durham, Elgin, Essex, and Hastings This information was last completely updated on March 4, 2022 © 2024, Findhelp Information Services URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=188834 )
answer: www.aboriginalhsc.org Address: 20 Sewells Rd Toronto, ON M1B 3G5 Map 20 Sewells Rd Toronto, ON M1B 3G5 Map",[],"{'question_type': 'complex', 'seed_document_id': 39, 'topic': 'Community Health and Social Services'}"
"Under what specific conditions, including financial and case-related, can individuals with disabilities qualify to receive services from the ARCH Disability Law Centre?","People with disabilities, must meet financial and case eligibility guidelines","Document 77: question: What are the eligibility criteria? (ARCH Disability Law Centre)
answer: People with disabilities, must meet financial and case eligibility guidelines",[],"{'question_type': 'complex', 'seed_document_id': 77, 'topic': 'Community Health and Social Services'}"
"Under what circumstances, if any, would a referral be necessary for submitting an application to Anovity Professional Home Healthcare, considering standard application procedures?",No referral required.,"Document 32: question: What are the application details? (Anovity Professional Home Healthcare)
answer: no referral required",[],"{'question_type': 'complex', 'seed_document_id': 32, 'topic': 'Community Health and Social Services'}"
"Identify the specific organization, including its chapter and office designation, that is responsible for delivering social services in the context provided, ensuring the name is complete and precise.",Armenian Relief Society Toronto Roubina Chapter - Social Service Office,"Document 97: question: What is the organization name? (Armenian Relief Society Toronto Roubina Chapter - Social Service Office)
answer: Armenian Relief Society Toronto Roubina Chapter - Social Service Office",[],"{'question_type': 'complex', 'seed_document_id': 97, 'topic': 'Community Health and Social Services'}"
"Under the condition that I need to visit the Taunton Health Centre, could you provide me with the complete address, including the intersection and any accessibility features?","Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7","Document 22: question: What is the website URL? (Amplifon - Taunton)
answer: www.amplifon.com/ca/branch-locator/hearing-clinics... Address: Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7 Map Taunton Health Centre 1290 Keith Ross Dr Oshawa, ON L1J 0C7 Map Intersection: Keith Ross Dr and Taunton Rd W Location: Oshawa (Stevenson North) Accessibility:     Wheelchair Accessible",[],"{'question_type': 'complex', 'seed_document_id': 22, 'topic': 'Community Health and Social Services'}"
